類別：所有類別

週,python: (全球)
2015-07-19,38
2015-07-26,38
2015-08-02,38
2015-08-09,37
2015-08-16,37
2015-08-23,39
2015-08-30,40
2015-09-06,41
2015-09-13,42
2015-09-20,42
2015-09-27,43
2015-10-04,43
2015-10-11,45
2015-10-18,44
2015-10-25,43
2015-11-01,44
2015-11-08,44
2015-11-15,44
2015-11-22,41
2015-11-29,44
2015-12-06,44
2015-12-13,43
2015-12-20,35
2015-12-27,32
2016-01-03,43
2016-01-10,45
2016-01-17,47
2016-01-24,49
2016-01-31,51
2016-02-07,48
2016-02-14,49
2016-02-21,50
2016-02-28,51
2016-03-06,51
2016-03-13,50
2016-03-20,49
2016-03-27,48
2016-04-03,51
2016-04-10,53
2016-04-17,50
2016-04-24,50
2016-05-01,47
2016-05-08,50
2016-05-15,49
2016-05-22,51
2016-05-29,51
2016-06-05,50
2016-06-12,48
2016-06-19,50
2016-06-26,48
2016-07-03,46
2016-07-10,45
2016-07-17,49
2016-07-24,47
2016-07-31,45
2016-08-07,44
2016-08-14,40
2016-08-21,47
2016-08-28,49
2016-09-04,49
2016-09-11,50
2016-09-18,54
2016-09-25,54
2016-10-02,52
2016-10-09,54
2016-10-16,56
2016-10-23,56
2016-10-30,56
2016-11-06,57
2016-11-13,62
2016-11-20,54
2016-11-27,61
2016-12-04,56
2016-12-11,54
2016-12-18,51
2016-12-25,42
2017-01-01,51
2017-01-08,55
2017-01-15,58
2017-01-22,59
2017-01-29,60
2017-02-05,61
2017-02-12,63
2017-02-19,63
2017-02-26,66
2017-03-05,64
2017-03-12,63
2017-03-19,64
2017-03-26,74
2017-04-02,68
2017-04-09,63
2017-04-16,62
2017-04-23,65
2017-04-30,60
2017-05-07,63
2017-05-14,62
2017-05-21,61
2017-05-28,58
2017-06-04,60
2017-06-11,59
2017-06-18,64
2017-06-25,62
2017-07-02,60
2017-07-09,61
2017-07-16,61
2017-07-23,60
2017-07-30,60
2017-08-06,60
2017-08-13,58
2017-08-20,59
2017-08-27,61
2017-09-03,63
2017-09-10,67
2017-09-17,69
2017-09-24,69
2017-10-01,71
2017-10-08,69
2017-10-15,71
2017-10-22,71
2017-10-29,69
2017-11-05,74
2017-11-12,75
2017-11-19,66
2017-11-26,74
2017-12-03,77
2017-12-10,70
2017-12-17,64
2017-12-24,50
2017-12-31,54
2018-01-07,68
2018-01-14,72
2018-01-21,71
2018-01-28,72
2018-02-04,75
2018-02-11,71
2018-02-18,71
2018-02-25,74
2018-03-04,73
2018-03-11,75
2018-03-18,75
2018-03-25,75
2018-04-01,69
2018-04-08,75
2018-04-15,75
2018-04-22,74
2018-04-29,69
2018-05-06,71
2018-05-13,74
2018-05-20,72
2018-05-27,69
2018-06-03,72
2018-06-10,75
2018-06-17,79
2018-06-24,69
2018-07-01,69
2018-07-08,72
2018-07-15,72
2018-07-22,76
2018-07-29,72
2018-08-05,71
2018-08-12,68
2018-08-19,73
2018-08-26,72
2018-09-02,77
2018-09-09,77
2018-09-16,81
2018-09-23,83
2018-09-30,79
2018-10-07,85
2018-10-14,82
2018-10-21,83
2018-10-28,82
2018-11-04,79
2018-11-11,85
2018-11-18,77
2018-11-25,84
2018-12-02,83
2018-12-09,77
2018-12-16,72
2018-12-23,53
2018-12-30,56
2019-01-06,74
2019-01-13,76
2019-01-20,77
2019-01-27,82
2019-02-03,81
2019-02-10,83
2019-02-17,84
2019-02-24,81
2019-03-03,83
2019-03-10,85
2019-03-17,84
2019-03-24,85
2019-03-31,84
2019-04-07,88
2019-04-14,82
2019-04-21,81
2019-04-28,74
2019-05-05,78
2019-05-12,83
2019-05-19,83
2019-05-26,79
2019-06-02,81
2019-06-09,85
2019-06-16,87
2019-06-23,85
2019-06-30,80
2019-07-07,89
2019-07-14,89
2019-07-21,87
2019-07-28,84
2019-08-04,83
2019-08-11,80
2019-08-18,86
2019-08-25,87
2019-09-01,88
2019-09-08,93
2019-09-15,95
2019-09-22,96
2019-09-29,92
2019-10-06,96
2019-10-13,98
2019-10-20,93
2019-10-27,92
2019-11-03,97
2019-11-10,93
2019-11-17,95
2019-11-24,88
2019-12-01,92
2019-12-08,90
2019-12-15,84
2019-12-22,64
2019-12-29,61
2020-01-05,85
2020-01-12,91
2020-01-19,99
2020-01-26,93
2020-02-02,93
2020-02-09,99
2020-02-16,100
2020-02-23,97
2020-03-01,100
2020-03-08,89
2020-03-15,82
2020-03-22,87
2020-03-29,91
2020-04-05,93
2020-04-12,97
2020-04-19,97
2020-04-26,92
2020-05-03,96
2020-05-10,95
2020-05-17,94
2020-05-24,93
2020-05-31,90
2020-06-07,90
2020-06-14,93
2020-06-21,92
2020-06-28,86
2020-07-05,93
2020-07-12,91
