類別：所有類別

週,machine learning: (全球)
2015-07-19,21
2015-07-26,22
2015-08-02,21
2015-08-09,22
2015-08-16,21
2015-08-23,25
2015-08-30,23
2015-09-06,23
2015-09-13,26
2015-09-20,24
2015-09-27,24
2015-10-04,26
2015-10-11,26
2015-10-18,25
2015-10-25,27
2015-11-01,25
2015-11-08,32
2015-11-15,29
2015-11-22,27
2015-11-29,29
2015-12-06,29
2015-12-13,29
2015-12-20,22
2015-12-27,19
2016-01-03,27
2016-01-10,26
2016-01-17,28
2016-01-24,28
2016-01-31,29
2016-02-07,28
2016-02-14,27
2016-02-21,29
2016-02-28,29
2016-03-06,31
2016-03-13,32
2016-03-20,31
2016-03-27,31
2016-04-03,32
2016-04-10,32
2016-04-17,32
2016-04-24,31
2016-05-01,30
2016-05-08,31
2016-05-15,34
2016-05-22,36
2016-05-29,33
2016-06-05,34
2016-06-12,33
2016-06-19,34
2016-06-26,31
2016-07-03,29
2016-07-10,29
2016-07-17,32
2016-07-24,32
2016-07-31,33
2016-08-07,30
2016-08-14,27
2016-08-21,35
2016-08-28,33
2016-09-04,34
2016-09-11,36
2016-09-18,39
2016-09-25,42
2016-10-02,41
2016-10-09,38
2016-10-16,41
2016-10-23,41
2016-10-30,41
2016-11-06,41
2016-11-13,48
2016-11-20,42
2016-11-27,48
2016-12-04,48
2016-12-11,46
2016-12-18,43
2016-12-25,32
2017-01-01,43
2017-01-08,47
2017-01-15,50
2017-01-22,47
2017-01-29,50
2017-02-05,50
2017-02-12,52
2017-02-19,52
2017-02-26,59
2017-03-05,55
2017-03-12,56
2017-03-19,58
2017-03-26,61
2017-04-02,60
2017-04-09,58
2017-04-16,54
2017-04-23,59
2017-04-30,57
2017-05-07,56
2017-05-14,61
2017-05-21,59
2017-05-28,57
2017-06-04,62
2017-06-11,61
2017-06-18,59
2017-06-25,59
2017-07-02,58
2017-07-09,61
2017-07-16,60
2017-07-23,58
2017-07-30,63
2017-08-06,59
2017-08-13,57
2017-08-20,61
2017-08-27,61
2017-09-03,62
2017-09-10,68
2017-09-17,68
2017-09-24,67
2017-10-01,69
2017-10-08,70
2017-10-15,70
2017-10-22,77
2017-10-29,75
2017-11-05,77
2017-11-12,74
2017-11-19,67
2017-11-26,75
2017-12-03,80
2017-12-10,78
2017-12-17,67
2017-12-24,54
2017-12-31,65
2018-01-07,72
2018-01-14,70
2018-01-21,70
2018-01-28,74
2018-02-04,74
2018-02-11,71
2018-02-18,73
2018-02-25,77
2018-03-04,80
2018-03-11,78
2018-03-18,80
2018-03-25,75
2018-04-01,77
2018-04-08,79
2018-04-15,75
2018-04-22,76
2018-04-29,71
2018-05-06,78
2018-05-13,75
2018-05-20,79
2018-05-27,71
2018-06-03,78
2018-06-10,79
2018-06-17,75
2018-06-24,74
2018-07-01,72
2018-07-08,75
2018-07-15,79
2018-07-22,78
2018-07-29,76
2018-08-05,78
2018-08-12,72
2018-08-19,75
2018-08-26,79
2018-09-02,76
2018-09-09,82
2018-09-16,82
2018-09-23,81
2018-09-30,85
2018-10-07,84
2018-10-14,82
2018-10-21,88
2018-10-28,81
2018-11-04,82
2018-11-11,87
2018-11-18,79
2018-11-25,86
2018-12-02,91
2018-12-09,79
2018-12-16,76
2018-12-23,58
2018-12-30,62
2019-01-06,79
2019-01-13,80
2019-01-20,81
2019-01-27,87
2019-02-03,87
2019-02-10,85
2019-02-17,91
2019-02-24,84
2019-03-03,84
2019-03-10,88
2019-03-17,88
2019-03-24,88
2019-03-31,91
2019-04-07,85
2019-04-14,83
2019-04-21,81
2019-04-28,82
2019-05-05,86
2019-05-12,89
2019-05-19,84
2019-05-26,79
2019-06-02,84
2019-06-09,88
2019-06-16,92
2019-06-23,90
2019-06-30,81
2019-07-07,85
2019-07-14,87
2019-07-21,84
2019-07-28,85
2019-08-04,88
2019-08-11,82
2019-08-18,88
2019-08-25,91
2019-09-01,88
2019-09-08,94
2019-09-15,98
2019-09-22,98
2019-09-29,92
2019-10-06,90
2019-10-13,96
2019-10-20,89
2019-10-27,88
2019-11-03,91
2019-11-10,92
2019-11-17,98
2019-11-24,90
2019-12-01,94
2019-12-08,94
2019-12-15,92
2019-12-22,71
2019-12-29,70
2020-01-05,89
2020-01-12,90
2020-01-19,96
2020-01-26,91
2020-02-02,92
2020-02-09,93
2020-02-16,98
2020-02-23,100
2020-03-01,94
2020-03-08,85
2020-03-15,71
2020-03-22,70
2020-03-29,75
2020-04-05,83
2020-04-12,83
2020-04-19,89
2020-04-26,88
2020-05-03,86
2020-05-10,87
2020-05-17,87
2020-05-24,85
2020-05-31,81
2020-06-07,84
2020-06-14,85
2020-06-21,85
2020-06-28,81
2020-07-05,85
2020-07-12,84
